Date,Abap,Ada,C/C++,C#,Cobol,Dart,Delphi/Pascal,Go,Groovy,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,Objective-C,Perl,PHP,Powershell,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,Visual Basic
July 2004,0.34,0.36,10.01,4.68,0.42,0,2.8,0,0.03,0.22,30.16,8.59,0,0.24,0.16,2.1,0.19,7.33,18.62,0.16,2.51,0.39,0.33,0.24,0.17,0,0,1.43,8.5
August 2004,0.35,0.36,9.74,4.96,0.46,0,2.65,0,0.07,0.2,29.8,8.72,0,0.22,0.15,2.03,0.18,7.07,19.14,0.15,2.62,0.4,0.4,0.19,0.17,0,0,1.45,8.51
September 2004,0.41,0.41,9.59,5.04,0.51,0,2.64,0,0.08,0.21,29.59,8.67,0,0.15,0.19,2.1,0.19,7,19.42,0.08,2.71,0.4,0.41,0.17,0.13,0,0,1.54,8.38
October 2004,0.4,0.38,9.47,5.29,0.53,0,2.76,0,0.09,0.2,29.02,8.44,0,0.11,0.22,2.23,0.2,7.15,19.28,0.12,2.91,0.42,0.46,0.12,0.14,0,0,1.61,8.46
November 2004,0.38,0.38,9.48,5.22,0.55,0,2.75,0,0.07,0.24,29.48,8.48,0,0.08,0.23,2.2,0.22,7.03,19.36,0.12,2.83,0.41,0.44,0.17,0.15,0,0,1.5,8.21
December 2004,0.36,0.37,9.53,5.22,0.53,0,2.76,0,0.09,0.22,29.69,8.53,0,0.08,0.21,2.14,0.21,7.04,19.68,0.04,2.7,0.39,0.42,0.19,0.12,0,0,1.45,8.06
January 2005,0.39,0.38,9.69,5.23,0.56,0,2.65,0,0.11,0.21,29.64,8.36,0,0.04,0.24,2.21,0.19,6.99,19.79,0.04,2.91,0.39,0.47,0.15,0.09,0,0,1.5,7.78
February 2005,0.37,0.39,9.86,5.2,0.49,0,2.66,0,0.07,0.21,30.24,8.11,0,0.04,0.25,2.31,0.18,6.91,19.59,0.05,2.87,0.38,0.45,0.16,0.09,0,0.01,1.45,7.65
March 2005,0.34,0.37,9.87,5.37,0.45,0,2.65,0,0.08,0.23,30.15,8.26,0,0.04,0.23,2.35,0.15,6.86,19.51,0.05,2.8,0.42,0.46,0.13,0.11,0,0.01,1.44,7.66
April 2005,0.34,0.36,9.83,5.41,0.41,0,2.55,0,0.08,0.22,30.5,8.38,0,0.02,0.22,2.21,0.13,6.72,19.9,0.01,2.77,0.4,0.43,0.14,0.1,0,0.01,1.35,7.51
May 2005,0.35,0.37,9.7,5.61,0.4,0,2.49,0,0.09,0.23,30.19,8.24,0,0,0.23,2.23,0.13,6.74,19.84,0.05,2.87,0.41,0.47,0.11,0.09,0,0.05,1.46,7.65
June 2005,0.35,0.36,9.44,5.76,0.4,0,2.43,0,0.08,0.23,30.34,8.33,0,0,0.24,2.28,0.12,6.55,19.75,0.08,2.94,0.41,0.55,0.09,0.09,0,0.06,1.55,7.57
July 2005,0.33,0.34,9.28,6.16,0.39,0,2.5,0,0.08,0.24,30.29,8.4,0,0,0.21,2.27,0.13,6.46,19.45,0.08,2.97,0.44,0.62,0.11,0.1,0,0.08,1.58,7.51
August 2005,0.32,0.3,9.14,6.14,0.4,0,2.35,0,0.09,0.24,30.21,8.61,0,0,0.21,2.12,0.11,6.51,19.62,0.09,3.12,0.44,0.66,0.12,0.09,0,0.09,1.61,7.41
September 2005,0.36,0.29,9.04,6.17,0.4,0,2.32,0,0.08,0.22,30.15,8.35,0,0,0.26,2.05,0.13,6.58,19.82,0.09,3.27,0.45,0.79,0.17,0.05,0,0.11,1.6,7.26
October 2005,0.38,0.31,8.69,6.18,0.45,0,2.43,0,0.08,0.24,30.1,8.15,0,0,0.28,2.18,0.14,6.59,19.61,0.09,3.46,0.49,0.94,0.16,0.05,0,0.11,1.69,7.2
November 2005,0.38,0.28,8.48,6.31,0.45,0,2.46,0,0.07,0.25,30.2,8.22,0,0,0.3,2.27,0.13,6.54,19.56,0.06,3.63,0.51,1.09,0.17,0.02,0,0.07,1.64,6.91
December 2005,0.39,0.28,8.37,6.53,0.48,0,2.44,0,0.08,0.27,29.84,8.12,0,0,0.32,2.35,0.11,6.56,19.33,0.03,3.88,0.53,1.24,0.16,0.06,0,0.06,1.66,6.91
January 2006,0.4,0.29,8.51,6.27,0.45,0,2.39,0,0.09,0.27,29.72,8.1,0,0,0.35,2.32,0.11,6.33,19.67,0.08,3.96,0.51,1.37,0.15,0.11,0,0.1,1.6,6.88
February 2006,0.41,0.32,8.4,6.36,0.51,0,2.48,0,0.09,0.3,29.75,7.96,0,0.01,0.37,2.41,0.13,6.11,19.49,0.06,3.95,0.56,1.58,0.14,0.13,0,0.08,1.67,6.73
March 2006,0.37,0.28,8.35,6.47,0.48,0,2.39,0,0.1,0.3,30.04,8.02,0,0.02,0.34,2.54,0.11,5.9,19.5,0.06,3.93,0.53,1.68,0.09,0.13,0,0.06,1.64,6.65
April 2006,0.35,0.25,8.45,6.65,0.44,0,2.17,0,0.11,0.29,30.06,8.08,0,0.05,0.35,2.46,0.1,5.76,19.91,0.08,3.8,0.52,1.78,0.09,0.16,0,0.06,1.53,6.5
May 2006,0.34,0.24,8.52,6.62,0.44,0,2.06,0,0.11,0.28,30.13,8.26,0,0.06,0.35,2.28,0.1,5.52,20.28,0.09,3.7,0.52,1.9,0.07,0.15,0,0.06,1.51,6.45
June 2006,0.34,0.23,8.63,6.45,0.44,0,1.92,0,0.11,0.28,30.33,8.38,0,0.08,0.36,2.23,0.11,5.35,20.57,0.1,3.65,0.52,1.9,0.07,0.13,0,0.06,1.48,6.29
July 2006,0.35,0.22,8.46,6.64,0.46,0,1.91,0,0.09,0.29,30.35,8.41,0,0.08,0.4,2.31,0.13,5.4,20.45,0.1,3.57,0.56,1.92,0.08,0.12,0,0,1.48,6.23
August 2006,0.35,0.2,8.43,6.78,0.39,0,1.86,0,0.11,0.26,30.18,8.37,0,0.08,0.39,2.27,0.11,5.44,20.54,0.11,3.64,0.51,2.07,0.08,0.13,0,0,1.5,6.19
September 2006,0.34,0.21,8.28,6.91,0.41,0,1.95,0,0.09,0.27,29.97,8.35,0,0.07,0.44,2.13,0.13,5.5,20.45,0.13,3.79,0.53,2.2,0.09,0.16,0,0,1.58,6.04
October 2006,0.34,0.25,8.21,6.96,0.41,0,2.02,0,0.07,0.3,29.81,8.39,0,0.04,0.45,2.19,0.14,5.47,20.19,0.1,3.91,0.54,2.27,0.09,0.15,0,0,1.69,6.01
November 2006,0.36,0.25,8.15,7,0.41,0,1.99,0,0.09,0.32,29.89,8.45,0,0.04,0.44,2.25,0.14,5.4,20.05,0.1,3.95,0.53,2.29,0.09,0.16,0,0,1.75,5.9
December 2006,0.4,0.28,8.18,7.05,0.4,0,1.96,0,0.07,0.34,29.99,8.35,0,0.01,0.47,2.29,0.14,5.39,19.9,0.11,3.97,0.57,2.37,0.09,0.13,0,0,1.7,5.84
January 2007,0.38,0.28,8.12,7.14,0.38,0,1.92,0,0.07,0.35,30.06,8.38,0,0.02,0.42,2.26,0.11,5.42,19.85,0.07,4.14,0.57,2.5,0.08,0.09,0,0,1.72,5.67
February 2007,0.4,0.24,8.26,7.02,0.41,0,1.91,0.01,0.05,0.38,30.27,8.41,0,0.01,0.42,2.4,0.11,5.21,19.57,0.06,4.34,0.62,2.49,0.06,0.08,0,0,1.65,5.61
March 2007,0.39,0.24,8.24,6.9,0.38,0,1.76,0.06,0.04,0.38,30.57,8.36,0,0.06,0.37,2.42,0.09,4.88,19.82,0.08,4.29,0.62,2.49,0.09,0.07,0,0.07,1.63,5.69
April 2007,0.38,0.21,8.1,6.78,0.39,0,1.78,0.06,0.07,0.35,30.47,8.38,0,0.06,0.35,2.51,0.08,4.81,20.02,0.09,4.39,0.6,2.62,0.09,0.06,0,0.07,1.6,5.67
May 2007,0.38,0.18,8.07,6.75,0.36,0,1.76,0.06,0.07,0.34,30.43,8.27,0,0.11,0.36,2.52,0.08,4.78,20.28,0.11,4.42,0.63,2.63,0.08,0.1,0,0.08,1.56,5.58
June 2007,0.32,0.13,7.9,6.81,0.32,0,1.84,0.07,0.08,0.31,30.55,8.36,0,0.12,0.3,2.39,0.06,4.78,20.32,0.09,4.47,0.58,2.76,0.08,0.11,0,0.08,1.62,5.55
July 2007,0.34,0.14,7.99,6.72,0.32,0,1.79,0.09,0.08,0.28,30.57,8.48,0,0.11,0.33,2.39,0.07,4.65,20.29,0.09,4.34,0.59,2.8,0.07,0.12,0,0.1,1.66,5.58
August 2007,0.36,0.22,7.94,6.74,0.32,0,1.65,0.12,0.09,0.29,30.67,8.57,0,0.13,0.35,2.24,0.08,4.57,20.74,0.11,4.17,0.58,2.78,0.09,0.14,0,0.1,1.65,5.29
September 2007,0.36,0.22,7.94,6.83,0.34,0,1.71,0.07,0.1,0.28,30.64,8.57,0,0.07,0.35,2.22,0.09,4.75,20.72,0.11,4.21,0.62,2.8,0.06,0.12,0,0.03,1.64,5.13
October 2007,0.36,0.2,8.04,6.94,0.34,0,1.73,0.07,0.1,0.29,30.7,8.55,0,0.07,0.37,2.15,0.07,4.75,20.41,0.13,4.26,0.69,2.78,0.05,0.12,0,0.03,1.66,5.12
November 2007,0.37,0.31,8.06,6.97,0.36,0,1.75,0.07,0.14,0.28,30.54,8.41,0,0.07,0.37,2.2,0.06,4.8,19.83,0.23,4.46,0.74,2.83,0.05,0.14,0,0.02,1.67,5.27
December 2007,0.41,0.34,8.01,6.94,0.4,0,1.72,0.06,0.21,0.31,30.22,8.29,0,0.06,0.4,2.31,0.12,4.73,19.46,0.32,4.61,0.8,2.79,0.08,0.32,0,0.2,1.67,5.22
January 2008,0.38,0.3,8.04,6.96,0.39,0,1.63,0.05,0.23,0.33,30.39,8.09,0,0.06,0.39,2.37,0.1,4.57,19.58,0.32,4.8,0.79,2.84,0.08,0.33,0,0.18,1.66,5.13
February 2008,0.36,0.24,7.99,7.11,0.39,0,1.71,0.06,0.27,0.34,30.15,7.95,0,0.08,0.4,2.46,0.13,4.48,19.48,0.33,4.93,0.85,2.83,0.07,0.31,0,0.18,1.67,5.23
March 2008,0.36,0.24,7.99,7.14,0.39,0,1.67,0.05,0.28,0.36,30.11,8.11,0,0.08,0.43,2.53,0.11,4.34,19.14,0.33,5.04,0.85,2.87,0.06,0.32,0,0.18,1.69,5.34
April 2008,0.35,0.24,7.96,7.27,0.39,0,1.61,0.05,0.29,0.36,30.32,8.09,0,0.09,0.42,2.52,0.11,4.2,19.19,0.31,5.01,0.82,2.88,0.07,0.34,0,0.21,1.73,5.17
May 2008,0.34,0.13,7.91,7.44,0.39,0,1.64,0.05,0.23,0.33,30.2,8.28,0,0.04,0.41,2.52,0.12,4.12,19.47,0.21,5.06,0.79,2.9,0.07,0.29,0,0.21,1.76,5.09
June 2008,0.32,0.09,7.93,7.66,0.39,0,1.72,0.09,0.17,0.34,30.32,8.25,0,0.04,0.44,2.54,0.08,3.98,19.67,0.16,5.03,0.77,2.94,0.03,0.12,0,0.03,1.77,5.1
July 2008,0.36,0.15,7.89,7.75,0.42,0,1.79,0.08,0.2,0.35,30.05,8.2,0,0.06,0.45,2.55,0.13,4.04,19.56,0.22,5.06,0.81,2.85,0.03,0.1,0,0.03,1.74,5.12
August 2008,0.35,0.16,7.83,7.83,0.42,0,1.87,0.04,0.16,0.31,29.85,8.02,0,0.04,0.46,2.57,0.12,4.08,19.48,0.21,5.2,0.8,2.93,0.03,0.1,0,0.06,1.79,5.3
September 2008,0.39,0.18,7.94,7.96,0.44,0,1.88,0.07,0.16,0.31,29.57,7.87,0,0.04,0.46,2.55,0.15,4.09,19.66,0.18,5.27,0.83,2.87,0.05,0.07,0,0.07,1.75,5.18
October 2008,0.42,0.22,8.08,7.95,0.45,0,1.85,0.07,0.23,0.32,28.86,7.87,0,0.03,0.45,2.68,0.16,4.14,19.49,0.25,5.58,0.87,2.84,0.06,0.08,0,0.07,1.65,5.34
November 2008,0.42,0.23,8.29,7.95,0.42,0,1.81,0.07,0.28,0.31,28.82,7.75,0,0.05,0.45,2.72,0.18,4.15,19.26,0.26,5.73,0.84,2.77,0.06,0.08,0,0.07,1.67,5.35
December 2008,0.43,0.3,8.47,7.83,0.41,0,1.74,0.05,0.38,0.3,28.57,7.73,0,0.1,0.42,2.76,0.21,4.18,19.07,0.31,5.89,0.9,2.69,0.06,0.17,0,0.09,1.68,5.28
January 2009,0.4,0.25,8.49,7.83,0.38,0,1.74,0.06,0.4,0.3,28.24,7.99,0,0.1,0.42,2.7,0.18,4.12,18.82,0.3,6.21,0.93,2.68,0.06,0.2,0,0.11,1.71,5.39
February 2009,0.38,0.29,8.73,7.74,0.39,0,1.63,0.09,0.41,0.28,28.22,7.94,0,0.1,0.39,2.79,0.19,4.13,18.64,0.36,6.25,0.96,2.65,0.06,0.18,0,0.08,1.68,5.4
March 2009,0.37,0.28,8.64,7.63,0.34,0,1.64,0.06,0.46,0.34,28.16,7.89,0,0.1,0.41,2.98,0.18,4.17,18.38,0.38,6.37,0.99,2.67,0.06,0.2,0,0.07,1.81,5.45
April 2009,0.35,0.23,8.62,7.62,0.35,0,1.67,0.07,0.4,0.35,28.38,7.78,0,0.1,0.42,2.87,0.18,4.15,18.59,0.33,6.31,1.01,2.63,0.04,0.19,0,0.05,1.87,5.45
May 2009,0.37,0.22,8.7,7.44,0.39,0,1.62,0.08,0.38,0.37,28.32,7.63,0,0.09,0.46,2.85,0.16,4.08,18.77,0.37,6.36,1.08,2.64,0.04,0.18,0,0.05,1.93,5.43
June 2009,0.37,0.17,8.67,7.33,0.39,0,1.54,0.07,0.3,0.36,28.19,7.78,0,0.04,0.45,2.89,0.14,4.09,19.14,0.33,6.42,1.06,2.66,0.04,0.1,0,0.01,2,5.44
July 2009,0.4,0.2,9.02,7.23,0.4,0,1.5,0.06,0.27,0.33,27.9,7.53,0,0.03,0.44,3.08,0.13,4.14,19.1,0.32,6.54,1.05,2.65,0.05,0.08,0,0,2.16,5.4
August 2009,0.43,0.12,9.1,7.1,0.45,0,1.53,0.04,0.28,0.35,27.64,7.66,0,0.02,0.42,2.97,0.09,4.09,19.24,0.35,6.67,1.04,2.64,0.05,0.09,0,0,2.21,5.4
September 2009,0.41,0.1,9.54,7,0.44,0,1.47,0.04,0.24,0.26,27.68,7.7,0,0.03,0.38,2.87,0.1,4.04,19.3,0.4,6.67,1.03,2.6,0.04,0.11,0,0,2.17,5.39
October 2009,0.43,0.12,9.77,6.76,0.48,0,1.43,0.04,0.25,0.23,27.64,7.61,0,0.02,0.39,2.99,0.11,3.98,19.09,0.45,6.79,1.05,2.65,0.06,0.09,0,0,2.21,5.34
November 2009,0.43,0.14,9.95,6.69,0.47,0,1.42,0.03,0.25,0.23,27.66,7.64,0,0.05,0.37,3.03,0.13,3.95,18.9,0.45,6.82,1.04,2.6,0.05,0.12,0,0,2.23,5.36
December 2009,0.44,0.14,10.27,6.58,0.48,0,1.41,0.02,0.29,0.25,27.72,7.45,0,0.05,0.39,3.11,0.16,3.85,18.61,0.51,6.78,1.06,2.55,0.07,0.13,0,0,2.28,5.4
January 2010,0.48,0.13,10.49,6.38,0.53,0,1.36,0.03,0.32,0.26,28.07,7.42,0,0.05,0.42,3.03,0.21,3.7,18.55,0.56,6.54,1.13,2.53,0.07,0.17,0,0,2.21,5.35
February 2010,0.49,0.14,10.75,6.33,0.49,0,1.31,0.03,0.34,0.23,28.3,7.29,0,0.05,0.5,3.2,0.24,3.64,18.37,0.53,6.44,1.1,2.42,0.07,0.2,0,0,2.22,5.33
March 2010,0.55,0.16,10.93,6.17,0.52,0,1.28,0.03,0.37,0.27,28.25,7.26,0,0.05,0.53,3.29,0.27,3.51,18.18,0.55,6.39,1.18,2.34,0.07,0.18,0,0,2.3,5.37
April 2010,0.53,0.13,11.25,6.16,0.48,0,1.26,0.03,0.37,0.27,28.45,7.38,0,0.05,0.51,3.29,0.25,3.36,18.2,0.55,6.25,1.14,2.19,0.06,0.2,0,0,2.3,5.35
May 2010,0.58,0.12,11.48,6.16,0.51,0,1.25,0.03,0.37,0.26,28.37,7.29,0,0.02,0.49,3.32,0.29,3.25,18.11,0.57,6.19,1.22,2.19,0.07,0.2,0,0,2.36,5.31
June 2010,0.61,0.13,11.55,6.24,0.53,0,1.29,0.03,0.38,0.25,28.3,7.33,0,0.01,0.49,3.29,0.3,3.25,17.91,0.6,6.22,1.19,2.16,0.06,0.2,0,0,2.35,5.32
July 2010,0.58,0.12,11.48,6.38,0.51,0,1.29,0.02,0.38,0.26,28.06,7.27,0,0,0.47,3.45,0.34,3.28,17.8,0.65,6.22,1.17,2.16,0.06,0.2,0,0,2.45,5.4
August 2010,0.6,0.13,11.56,6.38,0.54,0,1.25,0.02,0.4,0.28,28.34,7.18,0,0,0.42,3.34,0.43,3.22,17.53,0.67,6.18,1.22,2.21,0.06,0.23,0,0,2.55,5.28
September 2010,0.61,0.14,11.68,6.41,0.55,0,1.26,0.02,0.38,0.26,28.37,7.1,0,0,0.41,3.28,0.48,3.18,17.33,0.71,6.3,1.17,2.32,0.06,0.26,0,0,2.55,5.17
October 2010,0.66,0.2,11.75,6.47,0.56,0,1.23,0.03,0.39,0.26,28.15,6.86,0,0,0.46,3.31,0.65,3.12,16.93,0.76,6.38,1.23,2.45,0.08,0.29,0,0,2.62,5.15
November 2010,0.63,0.21,11.81,6.55,0.52,0,1.21,0.04,0.4,0.26,28.26,6.85,0,0,0.49,3.39,0.76,3.08,16.54,0.76,6.44,1.24,2.5,0.08,0.28,0,0,2.54,5.16
December 2010,0.62,0.23,11.92,6.52,0.52,0,1.23,0.03,0.38,0.31,28.09,6.72,0,0,0.5,3.41,1.03,2.97,16.28,0.77,6.51,1.31,2.63,0.09,0.32,0,0,2.46,5.15
January 2011,0.62,0.26,12.21,6.39,0.48,0,1.18,0.04,0.33,0.33,28.45,6.81,0,0,0.49,3.24,1.15,2.79,16.21,0.73,6.65,1.32,2.62,0.09,0.31,0,0,2.32,4.98
February 2011,0.61,0.25,12.46,6.41,0.43,0.01,1.14,0.03,0.29,0.34,28.23,6.93,0,0,0.47,3.36,1.3,2.67,16.23,0.7,6.87,1.28,2.55,0.09,0.29,0,0.01,2.12,4.92
March 2011,0.59,0.25,12.51,6.46,0.42,0.02,1.14,0.03,0.3,0.37,28.09,6.94,0,0,0.48,3.43,1.48,2.56,16.19,0.64,6.91,1.29,2.55,0.07,0.29,0,0.02,2.07,4.93
April 2011,0.59,0.22,12.51,6.45,0.41,0.02,1.15,0.01,0.34,0.38,28.18,7.07,0,0,0.45,3.33,1.61,2.57,16.27,0.56,6.84,1.29,2.49,0.05,0.27,0,0.02,2,4.94
May 2011,0.65,0.22,12.5,6.33,0.42,0.03,1.18,0.01,0.37,0.37,28.16,7.13,0,0,0.44,3.15,1.76,2.44,16.41,0.58,6.91,1.31,2.47,0.04,0.3,0,0.03,1.91,4.91
June 2011,0.64,0.21,12.47,6.27,0.38,0.05,1.16,0.02,0.37,0.32,28.24,7.17,0,0,0.42,3.09,1.78,2.46,16.54,0.56,6.89,1.3,2.57,0.03,0.28,0,0.03,1.92,4.8
