Country / Territory,ISO3,Region,CPI 2024 score,Rank,standard error 2024,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations In Transit,S&P / Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Denmark,DNK,WE/EU,90,1,1.98,8,86.75,93.25,,97,,83,,85,97,,100,75,,95,87
Finland,FIN,WE/EU,88,2,1.83,8,85.00,91.00,,97,,83,,85,93,,96,74,,92,84
Singapore,SGP,AP,84,3,1.48,9,81.57,86.43,,,77,83,,85,82,89,78,74,,100,84
New Zealand,NZL,AP,83,4,1.77,8,80.10,85.90,,87,,83,,85,87,,96,74,,72,83
Luxembourg,LUX,WE/EU,81,5,2.00,7,77.72,84.28,,,,83,,72,77,,87,73,,92,79
Norway,NOR,WE/EU,81,5,1.65,8,78.29,83.71,,87,,83,,85,79,,87,74,,67,84
Switzerland,CHE,WE/EU,81,5,1.81,7,78.02,83.98,,87,,83,,72,87,,87,74,,76,
Sweden,SWE,WE/EU,80,8,2.48,8,75.93,84.07,,87,,83,,85,73,,96,74,,61,84
Netherlands,NLD,WE/EU,78,9,2.34,8,74.17,81.83,,57,,83,,72,87,,87,74,,83,81
Australia,AUS,AP,77,10,1.67,9,74.26,79.74,,67,,83,,85,77,89,78,73,,62,79
Iceland,ISL,WE/EU,77,10,2.60,6,72.73,81.27,,,,67,,72,91,,78,73,,81,
Ireland,IRL,WE/EU,77,10,1.55,8,74.46,79.54,,77,,67,,72,88,,78,73,,84,79
Estonia,EST,WE/EU,76,13,1.09,10,74.22,77.78,,87,86,67,74,72,81,,69,72,,79,75
Uruguay,URY,AME,76,13,1.46,7,73.61,78.39,,,82,83,,72,,,78,70,,76,70
Canada,CAN,AME,75,15,1.95,8,71.80,78.20,,87,,83,,72,68,,78,73,,60,77
Germany,DEU,WE/EU,75,15,1.36,8,72.77,77.23,,77,,83,,72,74,,78,74,,63,80
Hong Kong,HKG,AP,74,17,2.62,7,69.71,78.29,,,,83,,59,89,75,69,70,,,72
Bhutan,BTN,AP,72,18,1.64,4,69.31,74.69,,,73,,,72,,,,66,75,,
Seychelles,SYC,SSA,72,18,3.97,4,65.49,78.51,60,,,83,,72,,,,72,,,
Japan,JPN,AP,71,20,2.58,9,66.78,75.22,,47,,67,,72,65,80,62,71,,95,77
United Kingdom,GBR,WE/EU,71,20,2.05,8,67.63,74.37,,77,,83,,72,59,,69,72,,58,78
Belgium,BEL,WE/EU,69,22,1.66,8,66.28,71.72,,67,,67,,72,79,,69,73,,55,74
Barbados,BRB,AME,68,23,3.12,3,62.89,73.11,,,,,,72,,,,70,,,61
United Arab Emirates,ARE,MENA,68,23,2.16,8,64.45,71.55,,,56,67,,59,81,,60,67,,80,71
Austria,AUT,WE/EU,67,25,1.92,8,63.85,70.15,,67,,51,,59,76,,69,67,,72,74
France,FRA,WE/EU,67,25,1.61,8,64.36,69.64,,67,,67,,59,56,,78,72,,66,71
Taiwan,TWN,AP,67,25,2.05,7,63.63,70.37,,,82,67,,72,68,64,60,59,,,
Bahamas,BHS,AME,65,28,6.24,3,54.77,75.23,,,,,,59,,,78,,,,57
United States,USA,AME,65,28,2.18,9,61.43,68.57,,67,,67,,85,54,45,69,71,,61,70
Israel,ISR,MENA,64,30,2.90,7,59.24,68.76,,67,,67,,59,56,,51,66,,85,
"Korea, South",KOR,AP,64,30,1.00,9,62.36,65.64,,,64,67,,59,61,55,71,64,,62,70
Chile,CHL,AME,63,32,2.30,8,59.23,66.77,,,82,67,,59,47,,60,70,,58,64
Lithuania,LTU,WE/EU,63,32,1.66,9,60.28,65.72,,67,77,51,67,59,59,,51,66,,,68
Saint Vincent and the Grenadines,VCT,AME,63,32,1.94,3,59.81,66.19,,,,,,59,,,,,63,,66
Cabo Verde,CPV,SSA,62,35,3.86,5,55.68,68.32,55,,,,,72,,,,57,75,52,
Dominica,DMA,AME,60,36,1.74,3,57.15,62.85,,,,,,59,,,,,63,,57
Slovenia,SVN,WE/EU,60,36,1.78,10,57.09,62.91,,67,64,67,74,59,41,,51,71,,45,62
Latvia,LVA,WE/EU,59,38,2.09,10,55.57,62.43,,77,69,51,67,59,53,,51,70,,32,66
Qatar,QAT,MENA,59,38,4.33,7,51.90,66.10,,,43,67,,46,85,,51,49,,75,
Saint Lucia,LCA,AME,59,38,7.91,3,46.03,71.97,,,,,,46,,,,,75,,56
Saudi Arabia,SAU,MENA,59,38,4.18,7,52.15,65.85,,,34,67,,46,79,,68,53,,69,
Costa Rica,CRI,AME,58,42,3.08,7,52.95,63.05,,,73,67,,59,,,42,62,,43,60
Botswana,BWA,SSA,57,43,2.41,9,53.05,60.95,59,,56,67,,72,30,,69,59,,53,52
Portugal,PRT,WE/EU,57,43,1.63,8,54.33,59.67,,57,,51,,59,42,,60,63,,60,64
Rwanda,RWA,SSA,57,43,2.63,7,52.69,61.31,69,,47,,,59,,,,45,51,69,59
Cyprus,CYP,WE/EU,56,46,2.48,7,51.93,60.07,,,,67,,59,40,,47,61,,59,58
Czechia,CZE,WE/EU,56,46,1.39,10,53.72,58.28,,57,60,35,63,59,53,,51,66,,55,62
Grenada,GRD,AME,56,46,4.95,3,47.88,64.12,,,,,,46,,,,,63,,60
Spain,ESP,WE/EU,56,46,2.43,8,52.01,59.99,,67,,51,,46,48,,51,70,,49,70
Fiji,FJI,AP,55,50,2.03,3,51.67,58.33,,,,,,59,,,,55,51,,
Oman,OMN,MENA,55,50,6.49,6,44.36,65.64,,,21,67,,59,,,42,57,,82,
Italy,ITA,WE/EU,54,52,1.67,8,51.27,56.73,,57,,51,,59,43,,51,63,,46,61
Bahrain,BHR,MENA,53,53,6.44,7,42.43,63.57,,,30,51,,32,82,,51,35,,90,
Georgia,GEO,ECA,53,53,4.06,6,46.35,59.65,,,47,,52,32,,,,65,,68,56
Poland,POL,WE/EU,53,53,1.84,10,49.97,56.03,,26,51,51,55,59,63,,42,66,,56,60
Mauritius,MUS,SSA,51,56,2.53,7,46.85,55.15,42,,47,67,,59,,,,41,,55,49
Malaysia,MYS,AP,50,57,1.10,9,48.20,51.80,,,51,51,,59,38,45,51,53,,50,48
Vanuatu,VUT,AP,50,57,1.82,3,47.02,52.98,,,,,,46,,,,52,51,,
Greece,GRC,WE/EU,49,59,1.94,8,45.81,52.19,,57,,35,,59,48,,42,58,,46,50
Jordan,JOR,MENA,49,59,3.48,8,43.29,54.71,,,34,51,,32,72,,42,42,,71,51
Namibia,NAM,SSA,49,59,1.61,8,46.35,51.65,52,,34,51,,59,,,51,53,,50,46
Slovakia,SVK,WE/EU,49,59,2.29,10,45.24,52.76,,36,60,51,59,72,28,,42,61,,30,49
Armenia,ARM,ECA,47,63,2.50,6,42.89,51.11,,,51,,44,46,,,33,50,,56,
Croatia,HRV,WE/EU,47,63,1.87,9,43.93,50.07,,,56,51,52,46,31,,51,57,,31,51
Kuwait,KWT,MENA,46,65,1.65,8,43.30,48.70,,,47,51,,32,42,,42,54,,54,47
Malta,MLT,WE/EU,46,65,3.43,6,40.37,51.63,,,,35,,46,,,40,62,,39,58
Montenegro,MNE,ECA,46,65,3.03,5,41.03,50.97,,,60,,44,46,,,,40,,,40
Romania,ROU,WE/EU,46,65,2.00,8,42.72,49.28,,,47,51,59,,30,,42,52,,41,48
Benin,BEN,SSA,45,69,3.40,6,39.43,50.57,48,,43,,,32,,,,62,51,,36
Côte d'Ivoire,CIV,SSA,45,69,2.48,9,40.93,49.07,55,,30,51,,59,,,43,34,63,43,27
Sao Tome and Principe,STP,SSA,45,69,5.38,4,36.18,53.82,28,,,,,46,,,,56,51,,
Senegal,SEN,SSA,45,69,1.41,9,42.68,47.32,48,,39,51,,46,,,35,55,51,35,45
Jamaica,JAM,AME,44,73,2.78,7,39.45,48.55,,,39,51,,32,,,42,61,,34,51
Kosovo,KSV,ECA,44,73,2.47,6,39.95,48.05,,,43,,33,46,,,,54,51,,38
Timor-Leste,TLS,AP,44,73,5.12,4,35.60,52.40,,,43,,,32,,,,60,39,,
Bulgaria,BGR,WE/EU,43,76,1.92,9,39.84,46.16,,,51,35,55,32,29,,51,53,,39,38
China,CHN,AP,43,76,1.64,8,40.32,45.68,,,43,51,,46,55,39,33,40,,,40
Moldova,MDA,ECA,43,76,2.25,7,39.31,46.69,,,43,35,37,46,,,42,59,,,37
Solomon Islands,SLB,AP,43,76,7.48,3,30.74,55.26,,,,,,59,,,,31,39,,
Albania,ALB,ECA,42,80,3.03,8,37.03,46.97,,,47,35,44,32,,,40,35,,71,30
Ghana,GHA,SSA,42,80,1.69,10,39.23,44.77,59,,43,51,,46,27,,51,31,51,33,33
Burkina Faso,BFA,SSA,41,82,2.30,7,37.23,44.77,52,,30,,,46,,,33,50,39,,37
Cuba,CUB,AME,41,82,3.09,5,35.94,46.06,,,39,51,,32,,,49,35,,,
Hungary,HUN,WE/EU,41,82,0.89,10,39.54,42.46,,36,34,51,41,46,31,,42,40,,44,42
South Africa,ZAF,SSA,41,82,2.43,9,37.01,44.99,62,,47,51,,46,20,,34,41,,28,40
Tanzania,TZA,SSA,41,82,2.15,9,37.47,44.53,48,,34,35,,32,,,33,65,39,49,32
Trinidad and Tobago,TTO,AME,41,82,4.44,6,33.72,48.28,,,34,35,,32,,,33,69,,,41
Kazakhstan,KAZ,ECA,40,88,3.11,9,34.90,45.10,,,34,51,18,46,55,,69,28,,25,39
North Macedonia,MKD,ECA,40,88,2.73,7,35.52,44.48,,,56,35,44,46,,,,24,,34,41
Suriname,SUR,AME,40,88,5.66,4,30.72,49.28,,,,,,32,,,33,59,,,35
Vietnam,VNM,AP,40,88,1.58,8,37.41,42.59,,,39,35,,46,,35,33,42,,53,36
Colombia,COL,AME,39,92,2.59,8,34.75,43.25,,,47,51,,46,19,,33,48,,29,38
Guyana,GUY,AME,39,92,1.58,5,36.40,41.60,,,,,,32,,,42,44,39,,38
Tunisia,TUN,MENA,39,92,1.24,8,36.96,41.04,42,,34,35,,46,,,33,46,,41,35
Zambia,ZMB,SSA,39,92,1.76,9,36.11,41.89,34,,34,35,,46,,,33,53,27,53,35
Gambia,GMB,SSA,38,96,3.19,7,32.77,43.23,21,,30,,,46,,,42,57,39,,31
India,IND,AP,38,96,1.32,9,35.83,40.17,,,47,35,,46,38,36,47,29,,36,31
Maldives,MDV,AP,38,96,2.85,3,33.32,42.68,,,,,,32,,,,43,39,,
Argentina,ARG,AME,37,99,3.01,8,32.06,41.94,,,51,51,,32,20,,33,48,,18,44
Ethiopia,ETH,SSA,37,99,1.38,8,34.74,39.26,45,,34,35,,46,,,33,36,39,,28
Indonesia,IDN,AP,37,99,2.16,9,33.46,40.54,,,39,35,,32,45,38,33,22,,61,26
Lesotho,LSO,SSA,37,99,4.13,6,30.22,43.78,24,,39,,,59,,,,37,39,22,
Morocco,MAR,MENA,37,99,1.55,8,34.46,39.54,48,,30,35,,32,,,42,32,,45,36
Dominican Republic,DOM,AME,36,104,2.33,7,32.17,39.83,,,43,51,,32,,,24,32,,37,32
Serbia,SRB,ECA,35,105,1.37,8,32.75,37.25,,,39,35,48,32,,,33,30,,31,31
Ukraine,UKR,ECA,35,105,2.09,8,31.57,38.43,,,51,18,37,32,,,33,33,,40,34
Algeria,DZA,MENA,34,107,2.64,8,29.67,38.33,21,,39,35,,32,,,24,29,,58,37
Brazil,BRA,AME,34,107,2.41,8,30.04,37.96,,,51,35,,32,23,,33,44,,19,38
Malawi,MWI,SSA,34,107,1.42,9,31.68,36.32,38,,34,18,,46,,,33,31,39,37,34
Nepal,NPL,AP,34,107,0.94,6,32.46,35.54,,,34,,,32,,,,34,39,30,32
Niger,NER,SSA,34,107,2.03,7,30.67,37.33,45,,30,,,32,,,24,42,39,,30
Thailand,THA,AP,34,107,0.65,9,32.94,35.06,,,34,35,,32,36,41,33,29,,34,34
Turkey,TUR,ECA,34,107,1.74,8,31.14,36.86,,,34,35,,46,36,,33,18,,34,34
Belarus,BLR,ECA,33,114,3.18,7,27.79,38.21,,,26,35,18,32,,,24,46,,,51
Bosnia and Herzegovina,BIH,ECA,33,114,2.04,7,29.65,36.35,,,39,35,41,32,,,,25,,20,39
Laos,LAO,AP,33,114,5.06,5,24.70,41.30,,,21,,,32,,,,26,27,56,
Mongolia,MNG,AP,33,114,1.38,8,30.73,35.27,,,39,35,,32,31,,40,21,,29,35
Panama,PAN,AME,33,114,1.44,7,30.63,35.37,,,34,35,,32,,,33,41,,23,36
Philippines,PHL,AP,33,114,1.81,9,30.02,35.98,,,34,35,,32,21,43,41,20,,45,25
Sierra Leone,SLE,SSA,33,114,2.17,9,29.44,36.56,38,,34,18,,46,,,42,43,39,15,25
Angola,AGO,SSA,32,121,2.80,8,27.40,36.60,38,,34,18,,46,,,42,41,,10,30
Ecuador,ECU,AME,32,121,2.34,7,28.16,35.84,,,47,35,,32,,,33,30,,17,30
Kenya,KEN,SSA,32,121,2.08,9,28.59,35.41,31,,30,18,,32,,,42,40,51,20,23
Sri Lanka,LKA,AP,32,121,1.63,8,29.33,34.67,,,34,18,,32,,,33,37,39,23,35
Togo,TGO,SSA,32,121,1.38,7,29.74,34.26,34,,26,,,32,,,33,24,39,,34
Uzbekistan,UZB,ECA,32,121,2.41,9,28.05,35.95,,,30,18,18,32,,,51,18,39,47,38
Djibouti,DJI,SSA,31,127,1.98,5,27.76,34.24,28,,26,,,32,,,,28,39,,
Papua New Guinea,PNG,AP,31,127,1.42,6,28.67,33.33,,,34,35,,32,,,33,23,27,,
Peru,PER,AME,31,127,2.26,8,27.29,34.71,,,47,35,,32,14,,33,35,,22,31
Egypt,EGY,MENA,30,130,3.62,8,24.07,35.93,7,,26,35,,32,,,24,25,,63,27
El Salvador,SLV,AME,30,130,1.01,7,28.34,31.66,,,30,35,,32,,,33,27,,23,31
Mauritania,MRT,SSA,30,130,2.29,6,26.24,33.76,28,,34,,,32,,,,18,39,,28
Bolivia,BOL,AME,28,133,3.10,7,22.91,33.09,,,39,35,,32,,,33,34,,6,18
Guinea,GIN,SSA,28,133,1.13,7,26.14,29.86,28,,34,,,32,,,24,26,27,,23
Eswatini,SWZ,SSA,27,135,3.50,4,21.26,32.74,24,,17,,,32,,,,35,,,
Gabon,GAB,SSA,27,135,1.38,8,24.74,29.26,24,,34,35,,32,,,24,18,,23,25
Liberia,LBR,SSA,27,135,2.01,8,23.70,30.30,38,,26,,,19,,,40,15,27,27,21
Mali,MLI,SSA,27,135,2.31,8,23.21,30.79,45,,30,,,32,,,33,17,15,23,18
Pakistan,PAK,AP,27,135,1.99,8,23.74,30.26,,,21,18,,32,,,33,14,39,33,26
Cameroon,CMR,SSA,26,140,1.76,9,23.11,28.89,34,,30,18,,32,,,24,10,39,29,19
Iraq,IRQ,MENA,26,140,4.44,6,18.72,33.28,,,39,18,,6,,,33,20,,44,
Madagascar,MDG,SSA,26,140,1.38,7,23.74,28.26,28,,30,,,32,,,24,20,27,,18
Mexico,MEX,AME,26,140,1.66,8,23.27,28.73,,,30,35,,19,17,,24,38,,26,23
Nigeria,NGA,SSA,26,140,1.45,10,23.62,28.38,31,,34,18,,19,31,,33,12,39,15,24
Uganda,UGA,SSA,26,140,1.19,8,24.05,27.95,28,,30,35,,19,,,24,24,27,,19
Guatemala,GTM,AME,25,146,1.50,7,22.54,27.46,,,17,18,,32,,,28,22,,29,27
Kyrgyzstan,KGZ,ECA,25,146,1.61,7,22.35,27.65,,,21,,22,19,,,,22,27,37,25
Mozambique,MOZ,SSA,25,146,2.39,8,21.08,28.92,10,,26,35,,19,,,42,31,15,,23
Central African Republic,CAF,SSA,24,149,1.57,5,21.43,26.57,28,,26,,,19,,,,19,27,,
Paraguay,PRY,AME,24,149,2.33,7,20.18,27.82,,,34,35,,19,,,24,22,,10,28
Bangladesh,BGD,AP,23,151,1.46,8,20.60,25.40,,,21,18,,19,,,33,13,27,29,23
Congo,COG,SSA,23,151,1.70,8,20.21,25.79,34,,21,18,,19,,,15,18,27,,33
Iran,IRN,MENA,23,151,2.22,7,19.36,26.64,,,13,18,,32,,,15,20,,25,34
Azerbaijan,AZE,ECA,22,154,2.38,6,18.10,25.90,,,30,18,15,32,,,24,15,,,
Honduras,HND,AME,22,154,1.02,8,20.33,23.67,,,26,18,,19,,,24,24,27,14,25
Lebanon,LBN,MENA,22,154,1.08,6,20.23,23.77,,,21,18,,19,,,24,22,,,28
Russia,RUS,ECA,22,154,1.55,7,19.47,24.53,,,26,18,15,19,,,24,21,,,32
Cambodia,KHM,AP,21,158,2.86,7,16.30,25.70,,,13,18,,32,,40,,15,15,,14
Chad,TCD,SSA,21,158,3.01,6,16.06,25.94,28,,17,,,19,,,,10,15,37,
Comoros,COM,SSA,21,158,8.21,4,7.54,34.46,0,,,,,46,,,,22,15,,
Guinea-Bissau,GNB,SSA,21,158,4.30,6,13.95,28.05,10,,30,,,19,,,42,20,3,,
Zimbabwe,ZWE,SSA,21,158,0.91,9,19.50,22.50,17,,21,18,,19,,,15,16,27,27,25
Democratic Republic of the Congo,COD,SSA,20,163,1.63,8,17.33,22.67,31,,21,18,,,,,24,12,27,12,14
Tajikistan,TJK,ECA,19,164,1.76,5,16.11,21.89,,,17,,15,19,,,,18,27,,
Afghanistan,AFG,AP,17,165,5.76,5,7.55,26.45,,,26,,,6,,,,40,0,,16
Burundi,BDI,SSA,17,165,3.37,5,11.48,22.52,28,,13,,,19,,,,21,3,,
Turkmenistan,TKM,ECA,17,165,0.89,5,15.53,18.47,,,17,18,15,19,,,,14,,,
Haiti,HTI,AME,16,168,2.13,6,12.50,19.50,,,17,,,19,,,15,22,3,,20
Myanmar,MMR,AP,16,168,2.01,7,12.71,19.29,,,8,18,,19,,,24,20,3,,21
"Korea, North",PRK,AP,15,170,4.12,4,8.24,21.76,,,13,,,6,,,15,29,,,
Sudan,SDN,SSA,15,170,1.90,8,11.88,18.12,17,,8,18,,19,,,6,21,3,,27
Nicaragua,NIC,AME,14,172,1.44,7,11.64,16.36,,,17,18,,19,,,15,13,3,,15
Equatorial Guinea,GNQ,SSA,13,173,2.54,5,8.84,17.16,3,,8,18,,19,,,,16,,,
Eritrea,ERI,SSA,13,173,5.51,5,3.96,22.04,0,,8,,,32,,,,27,0,,
Libya,LBY,MENA,13,173,2.63,6,8.68,17.32,0,,21,18,,6,,,15,19,,,
Yemen,YEM,MENA,13,173,1.72,7,10.18,15.82,,,13,18,,6,,,15,11,3,21,
Syria,SYR,MENA,12,177,1.83,5,9.00,15.00,,,8,18,,6,,,15,14,,,
Venezuela,VEN,AME,10,178,1.27,8,7.92,12.08,,,8,18,,6,20,,6,9,,7,8
Somalia,SOM,SSA,9,179,2.30,6,5.23,12.77,0,,8,,,19,,,6,16,3,,
South Sudan,SSD,SSA,8,180,2.09,5,4.57,11.43,7,,13,,,6,,,,14,0,,
